freq	leg_stat	age	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	PER_CNV	ADULT	NR	France	645728.0	646008.0	628558.0	611286.0	626708.0	617571.0	533925.0	530692.0	437123.0	435565.0	504974.0	508567.0	427470.0	486009.0	473500.0	488231.0
A	PER_CNV	ADULT	NR	Croatia	24168.0	25368.0	24430.0	23389.0	20548.0	16617.0	14888.0	12552.0	13412.0	12091.0	11866.0	13002.0	11634.0	12286.0	12355.0	11254.0
A	PER_CNV	ADULT	NR	Hungary	78223.0	80618.0	82789.0	79270.0	70195.0	65145.0	70911.0	67169.0	67550.0	65005.0	63312.0	61185.0	51479.0	52699.0	53219.0	53370.0
A	PER_CNV	ADULT	NR	Ireland								2267.0								
A	PER_CNV	ADULT	NR	Iceland						3456.0										
A	PER_CNV	ADULT	NR	Italy	257142.0	248881.0	250551.0	262161.0	256801.0	243858.0	223752.0	217721.0	195338.0	192209.0	213262.0					
A	PER_CNV	ADULT	NR	Lithuania	11577.0	11757.0	12839.0	12658.0	15731.0	18471.0	19255.0	16309.0	14621.0	17400.0	19123.0	17029.0	15660.0	14575.0	14511.0	14321.0
A	PER_CNV	ADULT	NR	Luxembourg									7886.0	9083.0	7713.0	6920.0	6878.0	7542.0	5885.0	6487.0
A	PER_CNV	ADULT	NR	Latvia	9824.0	9771.0	8874.0	8547.0	8343.0	8025.0	8681.0	9144.0	8561.0	8853.0	8255.0	7784.0	6830.0	6584.0	4652.0	4083.0
A	PER_CNV	ADULT	NR	Montenegro			639.0	1082.0	1379.0	2657.0	3001.0	2657.0	3524.0	3380.0	3176.0	3411.0	3557.0	3422.0	2837.0	2576.0
A	PER_CNV	ADULT	NR	North Macedonia	9503.0	9801.0	9169.0	9810.0	9042.0	9539.0	11683.0			2533.0		4712.0	6351.0	7634.0	7769.0	6528.0
A	PER_CNV	ADULT	NR	Netherlands	102959.0	103998.0	88865.0	84946.0	80119.0	85785.0	83239.0	86472.0	76894.0	77214.0	74381.0	72569.0	56081.0	58441.0	59044.0	63310.0
A	PER_CNV	ADULT	NR	Norway	61891.0	59999.0	63000.0	61059.0	60413.0	64044.0	60879.0	62423.0	59672.0	56887.0	14526.0	14304.0	13808.0	13058.0	12439.0	12338.0
A	PER_CNV	ADULT	NR	Poland	420729.0	415272.0	432891.0	423464.0	408107.0	353208.0	295353.0	260034.0	289512.0	241436.0	275768.0	287978.0	251369.0			
A	PER_CNV	ADULT	NR	Portugal	78079.0	69822.0	70076.0	70442.0	72231.0	65355.0	48658.0	53927.0	51383.0	47342.0	42740.0	41524.0	32564.0	39404.0	42301.0	39360.0
A	PER_CNV	ADULT	NR	Romania	33171.0	31191.0	38628.0	44204.0	46162.0	44228.0	37706.0	40015.0	31807.0	34604.0	31376.0	32979.0	30870.0	34683.0	32372.0	30969.0
A	PER_CNV	ADULT	NR	Serbia	42138.0	40880.0	21681.0	30807.0	31322.0	32241.0	35376.0	33189.0	32525.0	31759.0	29750.0	28112.0	25487.0	27508.0	26200.0	26919.0
A	PER_CNV	ADULT	NR	Sweden	63491.0	65932.0	68505.0	68344.0	66606.0	60622.0	56886.0	55553.0	52816.0	53376.0	56629.0	58703.0	64602.0	70258.0	72395.0	75225.0
A	PER_CNV	ADULT	NR	Slovenia	8739.0	8035.0	8093.0	7596.0	8427.0	11321.0	9410.0	7926.0	6687.0	6252.0	6098.0	6036.0	4814.0	5736.0	5373.0	5070.0
A	PER_CNV	ADULT	NR	Slovakia	26555.0	28927.0	29431.0	28399.0	33234.0	34273.0	32056.0	28371.0	25999.0	25287.0	27985.0	27129.0	24349.0	22564.0	24299.0	22932.0
A	PER_CNV	ADULT	NR	Turkey		1240936.0	1165837.0	1186666.0	1402794.0	470900.0	460197.0	488904.0	430000.0	421534.0	527167.0	563647.0	470429.0	663052.0	650031.0	651746.0
A	PER_CNV	ADULT	NR	England and Wales	1266755.0	1318281.0	1285820.0	1243053.0	1177400.0	1136735.0	1179642.0	1212283.0	1205439.0							
A	PER_CNV	ADULT	NR	Scotland	55739.0	52693.0	51765.0	50764.0	46248.0	44298.0				81223.0						
A	PER_CNV	ADULT	NR	Northern Ireland	37099.0	37611.0	37661.0	38849.0	37533.0	33921.0	25348.0	23243.0	22133.0	22661.0	24162.0					
A	PER_CNV	ADULT	NR	Kosovo	12472.0	12651.0	9503.0	17812.0	20412.0	15046.0	17494.0	16345.0	17862.0	18753.0	19721.0	17315.0				
A	PER_CNV	ADULT	P_HTHAB	Albania							576.88	715.17	643.38	477.72	505.46	478.45	430.99	557.08	501.96	390.61
A	PER_CNV	ADULT	P_HTHAB	Austria	523.65	512.59	518.81	492.1	478.02	462.76	501.64	482.66	395.98	396.62	357.18	350.28	302.04	303.59	310.57	314.16
A	PER_CNV	ADULT	P_HTHAB	Belgium			1609.02	1601.35	1819.36	1556.0	1280.4	1429.19		2549.31	2443.52	2151.08	1681.98			
A	PER_CNV	ADULT	P_HTHAB	Bulgaria	529.24	604.56	585.15	619.07	590.2	536.78	498.07	440.96	455.99	417.24	392.23	384.94	364.79	404.46	429.55	416.77
A	PER_CNV	ADULT	P_HTHAB	Switzerland	1144.15	1156.71	1192.26	1143.0	1231.14	1524.0	1534.27	1515.25	1490.85	1430.76	1431.56	1272.57	1263.68	1269.11	1327.38	1342.97
A	PER_CNV	ADULT	P_HTHAB	Cyprus	10523.62	9956.48	11688.63	13014.94	10365.29	8738.23	9961.22	7937.41	6631.84	6279.42	5639.95	5612.73	4979.07	4596.08	5018.47	
A	PER_CNV	ADULT	P_HTHAB	Czechia	859.42	828.55	792.13	786.6	813.18	875.81	822.41	740.54	694.17	629.18	614.01	625.79	545.73	569.85	577.87	575.35
A	PER_CNV	ADULT	P_HTHAB	Germany	1193.57	1147.0	1109.3	1129.7	1084.94	1062.42	1054.99	1040.35	1028.94	995.73	986.7	1009.15	971.39	923.23	903.63	917.47
A	PER_CNV	ADULT	P_HTHAB	Denmark	2764.17	2920.25	3089.6	3322.95	3501.29	4404.41	4397.82	4221.5	4068.56	3843.91	3853.98	1029.91	1116.42	1048.53	1038.17	1112.52
A	PER_CNV	ADULT	P_HTHAB	Greece														61.46	54.69	49.35
A	PER_CNV	ADULT	P_HTHAB	Spain	597.04	624.45	598.1	621.31	616.98	600.43	573.61	585.14	712.8	747.52	748.27	743.33	567.69	720.96	783.35	700.68
A	PER_CNV	ADULT	P_HTHAB	Finland	5383.28	4583.75	4547.49	4451.69	4187.73	3994.6	3762.89	3934.3	3367.16	1781.65	1823.61	1789.15	1730.27	1718.66	1640.1	1639.17
A	PER_CNV	ADULT	P_HTHAB	France	1299.1	1291.33	1249.87	1208.99	1234.08	1210.36	1038.76	1027.45	842.96	836.59	965.45	968.1	807.58	912.75	882.39	905.13
A	PER_CNV	ADULT	P_HTHAB	Croatia	701.43	725.1	698.43	670.34	589.98	478.06	428.93	362.57	395.49	353.27	350.17	385.73	346.16	367.36	386.61	353.14
A	PER_CNV	ADULT	P_HTHAB	Hungary	975.57	985.93	1011.15	968.15	861.49	811.33	870.97	825.79	832.45	804.15	785.19	759.0	643.54	661.78	671.85	674.39
A	PER_CNV	ADULT	P_HTHAB	Ireland								67.14								
A	PER_CNV	ADULT	P_HTHAB	Iceland						1427.67										
A	PER_CNV	ADULT	P_HTHAB	Italy	528.73	508.45	510.02	531.54	519.88	491.03	442.14	429.6	385.61	379.27	420.82					
A	PER_CNV	ADULT	P_HTHAB	Lithuania	451.02	459.42	511.76	510.89	642.77	760.7	811.15	680.45	616.83	744.38	829.31	742.13	682.27	634.5	628.08	609.76
A	PER_CNV	ADULT	P_HTHAB	Luxembourg									1756.93	1912.27	1589.65	1422.16	1357.76	1468.31	1125.77	1211.55
A	PER_CNV	ADULT	P_HTHAB	Latvia	548.37	550.67	508.4	498.54	492.72	478.59	524.33	558.43	529.55	555.54	523.92	498.65	441.2	429.07	306.28	268.33
A	PER_CNV	ADULT	P_HTHAB	Montenegro			140.77	232.34	289.6	565.58	635.68	550.95	728.85	697.4	666.08	701.73	730.52	702.89	585.43	531.85
A	PER_CNV	ADULT	P_HTHAB	North Macedonia	604.49	618.21	573.65	622.06	558.17	585.51	713.11			152.96		282.75	380.27	457.9	531.07	454.6
A	PER_CNV	ADULT	P_HTHAB	Netherlands	800.75	802.71	680.41	645.79	604.96	644.22	621.91	641.99	567.05	564.54	539.19	521.16	398.58	412.67	419.55	436.68
A	PER_CNV	ADULT	P_HTHAB	Norway	1306.5	1250.17	1296.78	1240.96	1211.68	1630.29	1528.83	1544.85	1461.22	1378.32	348.63	340.11	324.97	305.12	288.16	281.9
A	PER_CNV	ADULT	P_HTHAB	Poland	1373.84	1348.89	1407.46	1371.4	1317.28	1137.26	950.32	835.7	930.46	775.65	886.64	926.63	809.69			
A	PER_CNV	ADULT	P_HTHAB	Portugal	932.54	813.27	813.36	814.98	835.99	759.25	567.71	630.78	601.74	555.04	500.73	485.83	375.85	452.74	483.41	445.06
A	PER_CNV	ADULT	P_HTHAB	Romania	201.27	188.59	220.79	257.97	284.0	272.44	232.68	247.99	198.34	217.1	198.01	209.29	196.82	223.13	211.54	202.06
A	PER_CNV	ADULT	P_HTHAB	Serbia	705.67	685.98	364.59	525.56	527.23	544.67	599.42	564.48	556.04	545.73	514.32	488.82	445.39	484.69	466.69	490.85
A	PER_CNV	ADULT	P_HTHAB	Sweden	691.4	712.29	733.4	725.86	702.38	794.75	739.69	715.88	675.05	684.07	707.98	726.99	792.95	858.12	877.08	903.41
A	PER_CNV	ADULT	P_HTHAB	Slovenia	524.88	476.71	476.36	446.96	495.06	664.84	552.53	465.42	399.79	367.41	358.63	352.53	279.16	330.7	310.44	291.65
A	PER_CNV	ADULT	P_HTHAB	Slovakia	618.58	669.6	677.53	651.06	757.82	778.72	726.83	641.99	587.35	570.46	630.84	611.23	548.84	509.37	552.04	521.8
A	PER_CNV	ADULT	P_HTHAB	Turkey		2531.5	2335.27	2325.73	2696.9	889.58	853.7	891.23	769.64	740.52	910.05	953.98	780.43	1089.4	1049.52	1039.45
A	PER_CNV	ADULT	P_HTHAB	England and Wales	2986.0	3052.71	2950.87	2825.8	2654.42	2545.14	2621.58	2669.46	2631.67							
A	PER_CNV	ADULT	P_HTHAB	Scotland	1357.9	1265.29	1233.23	1198.14	1084.05	1034.11				1853.18						
A	PER_CNV	ADULT	P_HTHAB	Northern Ireland	2785.23	2773.27	2802.99	2817.32	2704.74	2431.86	1839.48	1645.68	1584.06	1614.36						
A	PER_CNV	ADULT	P_HTHAB	Kosovo									1505.78	1524.55	1590.17	1373.46				
A	PER_CNV	JUVENILE	NR	Albania	407.0	411.0	656.0	683.0	883.0	680.0	773.0	601.0	562.0	283.0	296.0	280.0	158.0	212.0	219.0	186.0
A	PER_CNV	JUVENILE	NR	Austria	2988.0	3155.0	3063.0	2747.0	2562.0	2248.0	2086.0	2149.0	1988.0	2001.0	1621.0	1634.0	1494.0	1304.0	1399.0	1388.0
A	PER_CNV	JUVENILE	NR	Bosnia and Herzegovina	715.0	645.0	663.0	280.0	345.0	682.0	538.0	291.0	293.0	246.0	189.0	182.0	181.0	172.0	166.0	188.0
A	PER_CNV	JUVENILE	NR	Belgium			2200.0	2662.0	2617.0	3581.0	3510.0	4170.0		232.0	237.0	280.0	207.0			
A	PER_CNV	JUVENILE	NR	Bulgaria	2964.0	3123.0	2694.0	2746.0	2312.0	1880.0	1633.0	1243.0	1108.0	1152.0	999.0	1023.0	874.0	963.0	912.0	748.0
A	PER_CNV	JUVENILE	NR	Switzerland	13167.0	13438.0	14108.0	11947.0	11190.0	6858.0	6605.0	6454.0	6520.0	6295.0	6503.0	7908.0	7908.0	8640.0	8322.0	8790.0
A	PER_CNV	JUVENILE	NR	Cyprus	804.0	835.0	794.0	670.0	575.0	448.0	275.0	304.0	275.0	351.0	267.0	312.0	335.0	263.0	265.0	
A	PER_CNV	JUVENILE	NR	Czechia	2915.0	2728.0	2389.0	2203.0	2186.0	1983.0	1593.0	1403.0	1327.0	1231.0	1278.0	1321.0	1110.0	1132.0	1029.0	1159.0
A	PER_CNV	JUVENILE	NR	Germany	62216.0	60900.0	55388.0	51325.0	44984.0	39518.0	34812.0	31341.0	29620.0	28479.0	29005.0	28299.0	24732.0	21463.0	20488.0	21986.0
A	PER_CNV	JUVENILE	NR	Denmark	8945.0	9410.0	8817.0	9766.0	8953.0	7413.0	7181.0	5634.0	5046.0	4565.0	4916.0	3603.0	4181.0	3692.0	3659.0	4081.0
A	PER_CNV	JUVENILE	NR	Spain	17103.0	19535.0	19700.0	18077.0	16421.0	15514.0	15048.0	13981.0	12928.0	13643.0	13664.0	14112.0	11238.0	13595.0	14026.0	13022.0
A	PER_CNV	JUVENILE	NR	Finland	11469.0	12343.0	12212.0	11901.0	10126.0	8996.0	8444.0	8727.0	7396.0	3435.0	3059.0	3163.0	3238.0	3531.0	3565.0	4425.0
A	PER_CNV	JUVENILE	NR	France	57967.0	56261.0	53931.0	52131.0	52511.0	50008.0	44557.0	43783.0	31460.0	31415.0	41305.0	40985.0	30789.0	44192.0	30879.0	29626.0
A	PER_CNV	JUVENILE	NR	Croatia	958.0	987.0	925.0	814.0	626.0	545.0	564.0	420.0	365.0	333.0	302.0	293.0	268.0	264.0	274.0	269.0
A	PER_CNV	JUVENILE	NR	Hungary	6234.0	6283.0	6554.0	5840.0	5096.0	5181.0	5406.0	4569.0	4136.0	3730.0	3369.0	2858.0	2371.0	2237.0	2188.0	2306.0
A	PER_CNV	JUVENILE	NR	Iceland						34.0										
A	PER_CNV	JUVENILE	NR	Italy	3233.0	3195.0	3833.0	3878.0	3122.0	3122.0	3187.0	3182.0	2839.0	2511.0	2729.0					
A	PER_CNV	JUVENILE	NR	Lithuania	1211.0	1293.0	1153.0	1039.0	900.0	1059.0	1103.0	964.0	887.0	658.0	656.0	535.0	400.0	435.0	448.0	396.0
A	PER_CNV	JUVENILE	NR	Luxembourg									546.0	463.0	492.0	662.0	626.0	490.0	69.0	89.0
A	PER_CNV	JUVENILE	NR	Latvia	1155.0	929.0	752.0	647.0	599.0	601.0	532.0	414.0	384.0	409.0	332.0	315.0	263.0	265.0	165.0	113.0
A	PER_CNV	JUVENILE	NR	Montenegro			34.0	39.0	65.0	108.0	115.0	105.0	188.0	148.0	168.0	200.0	146.0	113.0	165.0	148.0
A	PER_CNV	JUVENILE	NR	North Macedonia	715.0	748.0	547.0	722.0	556.0	473.0	461.0			236.0		304.0	350.0	382.0	262.0	307.0
A	PER_CNV	JUVENILE	NR	Malta	64.0	50.0	123.0	74.0	103.0	85.0	108.0	73.0	54.0	78.0	85.0	13.0	14.0	27.0	55.0	24.0
A	PER_CNV	JUVENILE	NR	Netherlands	12092.0	10595.0	8961.0	8153.0	7518.0	6241.0	5507.0	4882.0	4827.0	4856.0	4165.0	4258.0	3363.0	3662.0	3499.0	3584.0
A	PER_CNV	JUVENILE	NR	Norway	4612.0	4166.0	3983.0	3622.0	3015.0	3004.0	2980.0	2773.0	2671.0	2837.0	384.0	429.0	445.0	444.0	380.0	369.0
A	PER_CNV	JUVENILE	NR	Poland	26957.0	24953.0	22758.0	22807.0	20980.0	19135.0	16388.0	12237.0	11355.0	9657.0	9754.0	8920.0	10187.0			
A	PER_CNV	JUVENILE	NR	Portugal	9731.0	8444.0	7700.0	7369.0	6981.0	5816.0	4203.0	5535.0	5556.0	4626.0	3948.0	3788.0	2781.0	3287.0	3546.0	2923.0
A	PER_CNV	JUVENILE	NR	Romania	3624.0	3035.0	3263.0	3373.0	3026.0	2905.0	3126.0	2261.0	913.0	792.0	828.0	704.0	613.0	634.0	535.0	470.0
A	PER_CNV	JUVENILE	NR	Serbia	2229.0	1902.0	1640.0	2290.0	2302.0	2648.0	2034.0	1926.0	2032.0	1633.0	1548.0	1676.0	1239.0	1383.0	1213.0	1454.0
A	PER_CNV	JUVENILE	NR	Sweden	5963.0	5783.0	6005.0	5336.0	4503.0	3768.0	3776.0	3791.0	3843.0	3996.0	3936.0	4005.0	4394.0	4323.0	4241.0	4777.0
A	PER_CNV	JUVENILE	NR	Slovenia	489.0	418.0	330.0	369.0	398.0	437.0	319.0	315.0	319.0	269.0	226.0	220.0	193.0	238.0	194.0	188.0
A	PER_CNV	JUVENILE	NR	Slovakia	2126.0	2026.0	1748.0	1711.0	1843.0	1806.0	1554.0	1320.0	1209.0	1043.0	1400.0	1302.0	1043.0	1078.0	1059.0	1031.0
A	PER_CNV	JUVENILE	NR	Turkey		47398.0	47380.0	50781.0	63252.0	29343.0	32462.0	32030.0	29192.0	23900.0	28199.0	28745.0	21892.0	29229.0	32311.0	30492.0
A	PER_CNV	JUVENILE	NR	England and Wales	88391.0	81575.0	73895.0	63456.0	47576.0	36218.0	31510.0	28797.0	26287.0							
A	PER_CNV	JUVENILE	NR	Scotland	4659.0	3735.0	3001.0	2484.0	1857.0	1360.0				1491.0						
A	PER_CNV	JUVENILE	NR	Northern Ireland	1919.0	1928.0	1967.0	1689.0	1381.0	1355.0	1259.0	1136.0	823.0	969.0	759.0					
A	PER_CNV	JUVENILE	NR	Kosovo	782.0	764.0	422.0	555.0	578.0	786.0	840.0	563.0	692.0	766.0	713.0	686.0				
A	PER_CNV	JUVENILE	P_HTHAB	Albania							115.49	87.14	84.01	43.41	46.9	45.83	26.49	36.6	38.99	34.31
A	PER_CNV	JUVENILE	P_HTHAB	Austria	189.38	201.86	198.68	180.24	169.77	149.98	141.41	141.7	131.41	131.18	105.7	106.38	96.85	84.46	90.16	87.94
A	PER_CNV	JUVENILE	P_HTHAB	Belgium			99.36	118.61	115.71	157.41	154.23	182.53		10.07	10.26	12.1	8.92			
A	PER_CNV	JUVENILE	P_HTHAB	Bulgaria	237.18	255.33	223.52	231.12	195.69	159.59	138.54	105.14	93.12	96.45	83.76	85.98	73.47	80.89	83.16	68.02
A	PER_CNV	JUVENILE	P_HTHAB	Switzerland	173.4	174.48	181.2	151.8	140.67	469.22	448.62	435.49	436.44	416.92	427.55	516.78	512.72	555.42	529.18	555.19
A	PER_CNV	JUVENILE	P_HTHAB	Cyprus	452.0	469.3	445.18	376.67	324.27	256.01	160.93	189.99	162.78	208.9	158.39	184.36	196.42	153.37	153.15	
A	PER_CNV	JUVENILE	P_HTHAB	Czechia	157.34	147.5	129.51	119.25	119.02	107.82	86.1	74.92	70.0	64.08	65.58	66.88	55.51	57.14	51.37	55.31
A	PER_CNV	JUVENILE	P_HTHAB	Germany	445.35	445.06	410.84	387.11	342.27	301.87	266.24	239.02	222.28	211.42	214.25	208.12	180.82	156.16	147.79	157.99
A	PER_CNV	JUVENILE	P_HTHAB	Denmark	163.36	170.74	159.3	175.63	160.43	622.78	609.89	481.58	432.22	390.76	421.79	310.5	361.64	320.21	317.7	353.08
A	PER_CNV	JUVENILE	P_HTHAB	Spain	212.8	238.59	238.41	217.52	196.48	185.32	180.23	167.5	154.88	163.25	163.6	169.28	134.98	164.95	173.4	161.2
A	PER_CNV	JUVENILE	P_HTHAB	Finland	1046.42	1130.24	1121.96	1097.58	936.06	833.94	784.26	811.44	689.24	320.46	286.89	298.93	308.66	339.02	344.27	431.21
A	PER_CNV	JUVENILE	P_HTHAB	France	405.75	392.79	375.33	361.6	362.31	343.07	302.21	296.17	212.82	213.05	280.57	280.22	211.73	305.16	213.98	206.64
A	PER_CNV	JUVENILE	P_HTHAB	Croatia	117.26	121.66	114.91	101.65	78.93	69.32	72.69	55.02	48.88	45.52	42.13	41.53	38.43	38.16	41.1	40.51
A	PER_CNV	JUVENILE	P_HTHAB	Hungary	331.45	338.87	358.78	324.81	285.67	294.78	311.69	265.39	241.04	217.63	196.43	166.99	140.3	132.5	129.53	136.78
A	PER_CNV	JUVENILE	P_HTHAB	Iceland						42.63										
A	PER_CNV	JUVENILE	P_HTHAB	Italy	32.3	31.78	38.08	38.61	31.23	31.15	31.37	31.52	28.37	25.34	27.83					
A	PER_CNV	JUVENILE	P_HTHAB	Lithuania	187.62	206.95	191.33	180.71	161.79	194.76	207.08	183.8	171.17	128.92	130.41	107.09	80.19	87.29	90.39	77.85
A	PER_CNV	JUVENILE	P_HTHAB	Luxembourg									476.7	423.67	421.21	595.08	588.81	428.69	56.26	70.98
A	PER_CNV	JUVENILE	P_HTHAB	Latvia	288.62	239.16	200.53	179.61	170.39	173.19	153.83	118.74	109.0	114.72	92.54	87.79	73.17	73.91	46.24	31.27
A	PER_CNV	JUVENILE	P_HTHAB	Montenegro			23.02	26.77	45.1	75.67	81.55	75.1	135.54	113.46	122.53	155.94	108.18	89.31	124.2	111.83
A	PER_CNV	JUVENILE	P_HTHAB	North Macedonia	151.41	161.47	120.39	161.44	126.4	109.21	107.85			59.95		74.12	86.3	95.15	74.46	83.26
A	PER_CNV	JUVENILE	P_HTHAB	Malta	77.7	61.86	155.17	95.18	134.24	117.67	141.44	100.35	69.49	99.46	107.37	16.21	17.18	33.28	68.09	30.91
A	PER_CNV	JUVENILE	P_HTHAB	Netherlands	340.99	300.15	254.97	232.8	215.62	180.19	159.96	142.37	141.28	142.65	123.0	126.81	100.77	110.59	106.0	108.18
A	PER_CNV	JUVENILE	P_HTHAB	Norway	97.36	86.81	81.99	73.61	60.47	282.74	264.88	246.32	237.0	250.83	34.01	38.22	39.78	39.94	34.28	33.18
A	PER_CNV	JUVENILE	P_HTHAB	Poland	360.01	339.51	313.21	317.45	296.22	273.17	236.34	177.74	165.84	141.06	141.9	129.37	147.35			
A	PER_CNV	JUVENILE	P_HTHAB	Portugal	488.43	426.97	393.29	381.95	367.0	309.45	226.83	303.19	308.29	259.87	224.9	219.0	162.5	194.39	212.25	174.72
A	PER_CNV	JUVENILE	P_HTHAB	Romania	87.24	77.8	82.25	85.92	78.77	76.73	83.53	60.54	24.52	21.38	22.45	19.25	16.82	17.36	14.31	12.61
A	PER_CNV	JUVENILE	P_HTHAB	Serbia	160.0	138.27	120.64	177.21	180.43	209.8	163.4	156.02	165.67	133.77	127.19	138.2	102.88	115.87	102.53	125.67
A	PER_CNV	JUVENILE	P_HTHAB	Sweden	64.94	62.48	64.29	56.67	47.49	195.42	193.4	190.96	189.77	192.45	185.52	185.81	201.51	197.45	192.93	217.65
A	PER_CNV	JUVENILE	P_HTHAB	Slovenia	141.67	120.51	94.81	105.22	112.66	122.75	89.11	87.52	88.07	73.85	61.66	59.66	51.97	63.6	51.54	49.66
A	PER_CNV	JUVENILE	P_HTHAB	Slovakia	196.31	190.71	167.03	166.04	180.9	178.87	154.62	131.8	120.93	104.03	139.03	128.66	108.63	104.85	102.57	99.71
A	PER_CNV	JUVENILE	P_HTHAB	Turkey		210.68	209.29	223.71	278.53	129.31	142.62	140.25	127.64	104.41	123.23	125.41	95.7	128.48	142.1	135.05
A	PER_CNV	JUVENILE	P_HTHAB	England and Wales	747.92	688.09	621.47	531.33	396.01	299.43	258.72	234.92	212.98							
A	PER_CNV	JUVENILE	P_HTHAB	Scotland	442.64	354.9	286.07	238.0	178.55	131.22				144.63						
A	PER_CNV	JUVENILE	P_HTHAB	Northern Ireland	446.74	475.53	457.29	392.24	320.23	313.8	291.04	261.99	189.29	235.26						
A	PER_CNV	JUVENILE	P_HTHAB	Kosovo									118.22	138.4	127.76	128.6				
A	PER_CNV	TOTAL	NR	Albania	8009.0	7670.0	8510.0	9754.0	9562.0	8577.0	13618.0	16141.0	14614.0	10911.0	11614.0	11052.0	9853.0	12603.0	11422.0	8856.0
A	PER_CNV	TOTAL	NR	Austria	38226.0	37868.0	38394.0	36461.0	35541.0	34424.0	32980.0	32118.0	30450.0	30746.0	27655.0	27284.0	23716.0	23731.0	24466.0	25033.0
A	PER_CNV	TOTAL	NR	Bosnia and Herzegovina	16951.0	17707.0	17294.0	15709.0	17846.0	19015.0	18442.0	17471.0	16592.0	15036.0	14447.0	13616.0	10702.0	11356.0	10770.0	10702.0
A	PER_CNV	TOTAL	NR	Belgium			140990.0	142882.0	163323.0	141857.0	117534.0	132122.0	43578.0	238286.0	229599.0	202990.0	159957.0			
A	PER_CNV	TOTAL	NR	Bulgaria	36137.0	40872.0	39070.0	41013.0	37996.0	34113.0	31849.0	27787.0	28301.0	25800.0	23973.0	23389.0	21889.0	24121.0	24047.0	23037.0
A	PER_CNV	TOTAL	NR	Switzerland	100048.0	102526.0	106935.0	101903.0	109123.0	107099.0	108877.0	108819.0	108393.0	105156.0	106185.0	97170.0	97170.0	98912.0	103444.0	105916.0
A	PER_CNV	TOTAL	NR	Cyprus	63775.0	62466.0	75693.0	86813.0	71545.0	60819.0	68708.0	54095.0	45324.0	43477.0	39502.0	39975.0	35541.0	33563.0	36984.0	
A	PER_CNV	TOTAL	NR	Czechia	75882.0	73787.0	70651.0	70160.0	71471.0	77976.0	72825.0	65569.0	61423.0	55705.0	54448.0	55594.0	45558.0	49647.0	50227.0	51399.0
A	PER_CNV	TOTAL	NR	Germany	874691.0	844520.0	813266.0	807815.0	773901.0	755938.0	748782.0	739487.0	737873.0	716044.0	712338.0	728868.0	699269.0	662100.0	647374.0	656901.0
